WINNER,WIN_BY,NUM_OF_ROUNDS,LAST_ROUND,LAST_ROUND_TIME,TOTAL_FIGHT_TIME,WEIGHT_CATEGORY,TITLE_BOUT,REFEREE,DATE,LOCATION,R_NAME,R_AGE,R_HEIGHT,R_WEIGHT,R_REACH,R_KD,R_SIG_STR,R_SIG_STR_ATT,R_TOTAL_STR,R_TOTAL_STR_ATT,R_TD,R_TD_ATT,R_SUB_ATT,R_REV,R_CTRL,R_SIG_HEAD,R_SIG_HEAD_ATT,R_SIG_BODY,R_SIG_BODY_ATT,R_SIG_LEG,R_SIG_LEG_ATT,R_SIG_DIST,R_SIG_DIST_ATT,R_SIG_CLINCH,R_SIG_CLINCH_ATT,R_SIG_GROUND,R_SIG_GROUND_ATT,B_NAME,B_AGE,B_HEIGHT,B_WEIGHT,B_REACH,B_KD,B_SIG_STR,B_SIG_STR_ATT,B_TOTAL_STR,B_TOTAL_STR_ATT,B_TD,B_TD_ATT,B_SUB_ATT,B_REV,B_CTRL,B_SIG_HEAD,B_SIG_HEAD_ATT,B_SIG_BODY,B_SIG_BODY_ATT,B_SIG_LEG,B_SIG_LEG_ATT,B_SIG_DIST,B_SIG_DIST_ATT,B_SIG_CLINCH,B_SIG_CLINCH_ATT,B_SIG_GROUND,B_SIG_GROUND_ATT
Stevie Ray,Decision - Majority,3,3,300,900,Lightweight,False,Leon Roberts,"October 26, 2019","Kallang, Singapore",Michael Johnson,33.0,177.8,70.3,185.4,0,78,173,81,176,0,0,0,0,0,,,,,,,,,,,,,Stevie Ray,29.0,177.8,70.3,177.8,0,85,188,104,207,1,4,0,0,174,,,,,,,,,,,,
Beneil Dariush,Submission,3,1,122,122,Lightweight,False,Kevin Sataki,"October 26, 2019","Kallang, Singapore",Frank Camacho,30.0,177.8,77.1,185.4,0,3,9,3,9,0,0,0,0,0,,,,,,,,,,,,,Beneil Dariush,30.0,177.8,70.3,182.9,0,13,18,14,19,2,2,1,0,45,,,,,,,,,,,,
Ciryl Gane,Submission,3,3,286,886,Heavyweight,False,Herb Dean,"October 26, 2019","Kallang, Singapore",Ciryl Gane,29.0,193.0,111.1,205.7,1,94,168,99,173,3,3,1,0,137,,,,,,,,,,,,,Don'Tale Mayes,27.0,198.1,117.9,205.7,0,32,121,40,132,0,0,0,0,2,,,,,,,,,,,,
Muslim Salikhov,Decision - Unanimous,3,3,300,900,Welterweight,False,Thomas Fan,"October 26, 2019","Kallang, Singapore",Muslim Salikhov,35.0,180.3,77.1,177.8,0,63,132,64,133,3,5,0,0,30,,,,,,,,,,,,,Laureano Staropoli,26.0,185.4,77.1,180.3,0,42,138,48,144,0,3,0,0,0,,,,,,,,,,,,
Randa Markos,Decision - Split,3,3,300,900,Women's Strawweight,False,Daniel Movahedi,"October 26, 2019","Kallang, Singapore",Randa Markos,34.0,162.6,52.2,160.0,0,78,140,94,158,0,1,0,1,185,,,,,,,,,,,,,Ashley Yoder,32.0,170.2,52.2,175.3,0,44,107,82,148,2,6,0,1,337,,,,,,,,,,,,
Rafael Fiziev,Decision - Unanimous,3,3,300,900,Lightweight,False,Kevin Sataki,"October 26, 2019","Kallang, Singapore",Alex White,31.0,182.9,70.3,180.3,0,55,133,66,146,0,11,0,0,61,,,,,,,,,,,,,Rafael Fiziev,26.0,172.7,70.3,180.3,0,66,131,73,138,1,1,0,0,94,,,,,,,,,,,,
Movsar Evloev,Decision - Unanimous,3,3,300,900,Featherweight,False,Leon Roberts,"October 26, 2019","Kallang, Singapore",Enrique Barzola,30.0,170.2,65.8,177.8,0,78,234,83,239,1,5,0,0,38,,,,,,,,,,,,,Movsar Evloev,25.0,170.2,65.8,182.9,0,71,233,78,244,4,11,0,0,132,,,,,,,,,,,,
Sergei Pavlovich,KO/TKO,3,1,131,131,Heavyweight,False,Herb Dean,"October 26, 2019","Kallang, Singapore",Maurice Greene,33.0,200.7,117.0,203.2,0,8,22,8,22,0,0,0,0,0,,,,,,,,,,,,,Sergei Pavlovich,27.0,190.5,116.6,213.4,1,20,37,21,38,0,0,0,0,14,,,,,,,,,,,,
Loma Lookboonmee,Decision - Split,3,3,300,900,Women's Strawweight,False,Daniel Movahedi,"October 26, 2019","Kallang, Singapore",Loma Lookboonmee,23.0,154.9,52.2,154.9,0,99,151,112,164,1,6,0,0,23,,,,,,,,,,,,,Aleksandra Albu,29.0,157.5,52.2,160.0,0,65,157,77,171,1,3,0,0,122,,,,,,,,,,,,
Raphael Pessoa,Decision - Unanimous,3,3,300,900,Heavyweight,False,Thomas Fan,"October 26, 2019","Kallang, Singapore",Raphael Pessoa,30.0,190.5,118.8,198.1,1,39,138,43,143,0,0,0,0,6,,,,,,,,,,,,,Jeff Hughes,31.0,188.0,113.4,195.6,0,34,77,48,93,0,0,0,1,76,,,,,,,,,,,,
Dominick Reyes,KO/TKO,5,1,103,103,Light Heavyweight,False,Herb Dean,"October 18, 2019","Boston, Massachusetts, USA",Dominick Reyes,29.0,193.0,93.0,195.6,1,8,11,9,12,0,0,0,0,9,,,,,,,,,,,,,Chris Weidman,35.0,188.0,83.9,198.1,0,3,6,10,13,1,4,0,0,70,,,,,,,,,,,,
Yair Rodriguez,Decision - Unanimous,3,3,300,900,Featherweight,False,Kevin MacDonald,"October 18, 2019","Boston, Massachusetts, USA",Yair Rodriguez,27.0,180.3,65.8,180.3,0,96,170,136,213,0,3,0,0,190,,,,,,,,,,,,,Jeremy Stephens,33.0,175.3,65.8,180.3,0,50,95,99,156,3,4,0,0,334,,,,,,,,,,,,
Joe Lauzon,KO/TKO,3,1,93,93,Lightweight,False,Herb Dean,"October 18, 2019","Boston, Massachusetts, USA",Joe Lauzon,35.0,177.8,70.3,180.3,0,25,36,28,39,1,2,0,0,42,,,,,,,,,,,,,Jonathan Pearce,27.0,182.9,65.8,180.3,0,8,19,8,19,0,0,0,0,0,,,,,,,,,,,,
Maycee Barber,KO/TKO,3,1,184,184,Women's Flyweight,False,Gary Forman,"October 18, 2019","Boston, Massachusetts, USA",Maycee Barber,21.0,165.1,56.7,165.1,0,34,68,40,74,0,0,0,0,22,,,,,,,,,,,,,Gillian Robertson,24.0,165.1,56.7,160.0,0,12,28,15,31,0,2,0,0,44,,,,,,,,,,,,
Darren Stewart,Decision - Split,3,3,300,900,Middleweight,False,Steve Rita,"October 18, 2019","Boston, Massachusetts, USA",Deron Winn,30.0,167.6,83.9,177.8,0,29,53,66,98,6,15,0,1,482,,,,,,,,,,,,,Darren Stewart,28.0,182.9,83.9,188.0,0,57,119,77,140,1,1,0,0,30,,,,,,,,,,,,
Charles Rosa,Submission,3,1,166,166,Featherweight,False,Kevin MacDonald,"October 18, 2019","Boston, Massachusetts, USA",Charles Rosa,33.0,175.3,65.8,175.3,0,6,8,8,11,0,0,1,0,0,,,,,,,,,,,,,Manny Bermudez,25.0,177.8,65.8,180.3,0,27,38,37,49,1,1,0,0,137,,,,,,,,,,,,
Molly McCann,Decision - Unanimous,3,3,300,900,Women's Flyweight,False,Bryan Miner,"October 18, 2019","Boston, Massachusetts, USA",Molly McCann,29.0,162.6,56.7,157.5,0,113,238,126,252,5,14,1,0,219,,,,,,,,,,,,,Diana Belbita,23.0,170.2,56.7,172.7,0,98,252,104,260,1,1,0,0,86,,,,,,,,,,,,
Sean Woodson,Decision - Unanimous,3,3,300,900,Featherweight,False,Steve Rita,"October 18, 2019","Boston, Massachusetts, USA",Kyle Bochniak,32.0,170.2,65.8,177.8,0,42,151,52,161,1,15,0,0,268,,,,,,,,,,,,,Sean Woodson,27.0,188.0,65.8,198.1,0,111,251,150,290,0,0,0,0,0,,,,,,,,,,,,
Randy Costa,KO/TKO,3,1,135,135,Bantamweight,False,Herb Dean,"October 18, 2019","Boston, Massachusetts, USA",Randy Costa,25.0,175.3,61.2,185.4,2,22,44,23,45,0,0,0,0,7,,,,,,,,,,,,,Boston Salmon,28.0,175.3,61.2,175.3,0,12,22,16,26,0,1,0,0,43,,,,,,,,,,,,
Sean Brady,Decision - Unanimous,3,3,300,900,Welterweight,False,Bryan Miner,"October 18, 2019","Boston, Massachusetts, USA",Court McGee,34.0,180.3,77.1,190.5,0,107,291,128,313,0,6,0,0,84,,,,,,,,,,,,,Sean Brady,26.0,177.8,77.1,182.9,1,119,210,148,240,2,3,0,0,42,,,,,,,,,,,,
Brendan Allen,Submission,3,2,218,518,Middleweight,False,Steve Rita,"October 18, 2019","Boston, Massachusetts, USA",Brendan Allen,23.0,188.0,83.9,190.5,0,10,22,23,41,2,3,4,2,173,,,,,,,,,,,,,Kevin Holland,26.0,190.5,83.9,205.7,0,22,38,37,55,1,1,1,1,283,,,,,,,,,,,,
Tanner Boser,Decision - Unanimous,3,3,300,900,Heavyweight,False,Gary Forman,"October 18, 2019","Boston, Massachusetts, USA",Daniel Spitz,29.0,200.7,111.1,208.3,0,32,108,32,108,0,0,0,0,0,,,,,,,,,,,,,Tanner Boser,28.0,188.0,115.7,190.5,0,93,151,93,151,0,0,0,0,0,,,,,,,,,,,,
Joanna Jedrzejczyk,Decision - Unanimous,5,5,300,1500,Women's Strawweight,False,Herb Dean,"October 12, 2019","Tampa, Florida, USA",Joanna Jedrzejczyk,32.0,167.6,52.2,165.1,0,180,300,226,347,3,5,1,0,333,,,,,,,,,,,,,Michelle Waterson,33.0,160.0,52.2,157.5,0,58,160,71,174,1,9,1,0,299,,,,,,,,,,,,
Cub Swanson,Decision - Unanimous,3,3,300,900,Featherweight,False,Kevin MacDonald,"October 12, 2019","Tampa, Florida, USA",Cub Swanson,35.0,172.7,65.8,177.8,0,135,288,143,296,0,0,0,0,36,,,,,,,,,,,,,Kron Gracie,31.0,175.3,65.8,177.8,0,86,200,109,225,0,2,0,0,4,,,,,,,,,,,,
Niko Price,KO/TKO,3,1,104,104,Welterweight,False,Herb Dean,"October 12, 2019","Tampa, Florida, USA",Niko Price,30.0,182.9,77.1,193.0,1,11,22,15,28,0,1,0,0,47,,,,,,,,,,,,,James Vick,32.0,190.5,70.3,193.0,0,9,18,10,19,0,0,0,0,13,,,,,,,,,,,,
Amanda Ribas,Decision - Unanimous,3,3,300,900,Women's Strawweight,False,Michael Cardoso,"October 12, 2019","Tampa, Florida, USA",Mackenzie Dern,26.0,162.6,52.2,160.0,0,20,145,50,175,0,6,0,0,2,,,,,,,,,,,,,Amanda Ribas,26.0,160.0,56.7,167.6,0,74,206,84,216,2,2,0,0,106,,,,,,,,,,,,
Matt Frevola,Decision - Split,3,3,300,900,Lightweight,False,Herb Dean,"October 12, 2019","Tampa, Florida, USA",Matt Frevola,29.0,175.3,70.3,180.3,0,48,110,51,115,4,7,0,0,173,,,,,,,,,,,,,Luis Pena,26.0,190.5,70.3,190.5,0,51,120,60,129,1,2,2,3,65,,,,,,,,,,,,
Eryk Anders,Decision - Split,3,3,300,900,Middleweight,False,Kevin MacDonald,"October 12, 2019","Tampa, Florida, USA",Eryk Anders,32.0,185.4,83.9,190.5,0,64,178,64,178,0,0,0,0,9,,,,,,,,,,,,,Gerald Meerschaert,31.0,185.4,83.9,195.6,0,72,202,72,202,0,1,0,0,0,,,,,,,,,,,,
Ryan Spann,Submission,3,2,121,421,Light Heavyweight,False,Michael Cardoso,"October 12, 2019","Tampa, Florida, USA",Ryan Spann,28.0,195.6,93.0,200.7,0,17,48,17,48,0,1,1,0,68,,,,,,,,,,,,,Devin Clark,29.0,182.9,93.0,190.5,0,17,37,22,42,2,3,0,0,38,,,,,,,,,,,,
Mike Davis,KO/TKO,3,3,285,885,Lightweight,False,Andrew Glenn,"October 12, 2019","Tampa, Florida, USA",Mike Davis,27.0,182.9,65.8,182.9,2,139,222,141,224,2,2,0,0,116,,,,,,,,,,,,,Thomas Gifford,27.0,185.4,70.3,190.5,0,88,242,89,243,0,2,0,0,0,,,,,,,,,,,,
Alex Morono,Decision - Unanimous,3,3,300,900,Welterweight,False,Herb Dean,"October 12, 2019","Tampa, Florida, USA",Max Griffin,33.0,180.3,77.1,193.0,0,75,166,94,189,4,5,0,0,155,,,,,,,,,,,,,Alex Morono,29.0,180.3,77.1,182.9,1,81,255,87,261,0,1,0,0,26,,,,,,,,,,,,
Deiveson Figueiredo,Submission,3,1,188,188,Flyweight,False,Kevin MacDonald,"October 12, 2019","Tampa, Florida, USA",Deiveson Figueiredo,31.0,165.1,56.7,172.7,0,8,13,8,13,0,1,1,0,0,,,,,,,,,,,,,Tim Elliott,32.0,170.2,56.7,167.6,0,26,38,33,45,1,3,0,0,4,,,,,,,,,,,,
Marlon Vera,KO/TKO,3,3,197,797,Bantamweight,False,Andrew Glenn,"October 12, 2019","Tampa, Florida, USA",Marlon Vera,26.0,172.7,61.2,177.8,0,80,133,87,140,0,1,2,0,72,,,,,,,,,,,,,Andre Ewell,31.0,172.7,61.2,190.5,0,50,131,67,148,0,1,0,0,153,,,,,,,,,,,,
Miguel Baeza,KO/TKO,3,2,152,452,Welterweight,False,Michael Cardoso,"October 12, 2019","Tampa, Florida, USA",Miguel Baeza,27.0,188.0,77.1,188.0,1,35,61,35,61,1,1,0,0,0,,,,,,,,,,,,,Hector Aldana,31.0,180.3,77.1,182.9,0,8,42,8,42,0,0,0,0,9,,,,,,,,,,,,
Marvin Vettori,Decision - Unanimous,3,3,300,900,Middleweight,False,Herb Dean,"October 12, 2019","Tampa, Florida, USA",Marvin Vettori,26.0,182.9,83.9,188.0,0,85,205,86,206,0,0,0,0,20,,,,,,,,,,,,,Andrew Sanchez,31.0,185.4,83.9,188.0,0,39,185,39,185,0,2,0,0,0,,,,,,,,,,,,
JJ Aldrich,Decision - Unanimous,3,3,300,900,Women's Flyweight,False,Kevin MacDonald,"October 12, 2019","Tampa, Florida, USA",JJ Aldrich,27.0,165.1,56.7,170.2,0,74,160,78,164,1,2,0,0,112,,,,,,,,,,,,,Lauren Mueller,27.0,165.1,56.7,170.2,0,54,147,60,153,1,1,0,0,21,,,,,,,,,,,,
Israel Adesanya,KO/TKO,5,2,213,513,Middleweight,True,Marc Goddard,"October 05, 2019","Melbourne, Victoria, Australia",Robert Whittaker,28.0,182.9,83.9,185.4,0,32,116,32,116,0,0,0,0,0,,,,,,,,,,,,,Israel Adesanya,30.0,193.0,83.9,203.2,2,40,95,40,95,0,0,0,0,4,,,,,,,,,,,,
Dan Hooker,Decision - Unanimous,3,3,300,900,Lightweight,False,John Sharp,"October 05, 2019","Melbourne, Victoria, Australia",Al Iaquinta,32.0,177.8,70.3,177.8,0,37,116,38,117,0,3,0,0,24,,,,,,,,,,,,,Dan Hooker,29.0,182.9,70.3,190.5,1,98,207,104,213,0,1,0,0,149,,,,,,,,,,,,
Serghei Spivac,Submission,3,2,194,494,Heavyweight,False,Steve Perceval,"October 05, 2019","Melbourne, Victoria, Australia",Tai Tuivasa,26.0,188.0,119.7,190.5,0,21,50,22,51,0,0,0,0,5,,,,,,,,,,,,,Serghei Spivac,24.0,190.5,117.9,198.1,0,23,42,40,60,6,8,1,0,261,,,,,,,,,,,,
Dhiego Lima,Decision - Split,3,3,300,900,Welterweight,False,Marc Goddard,"October 05, 2019","Melbourne, Victoria, Australia",Luke Jumeau,31.0,180.3,77.1,182.9,0,24,95,24,95,0,0,0,0,0,,,,,,,,,,,,,Dhiego Lima,30.0,188.0,77.1,190.5,0,32,105,49,124,2,6,0,0,160,,,,,,,,,,,,
Yorgan De Castro,KO/TKO,3,1,130,130,Heavyweight,False,Jim Perdios,"October 05, 2019","Melbourne, Victoria, Australia",Justin Tafa,25.0,182.9,119.7,188.0,0,6,9,17,20,0,0,0,0,69,,,,,,,,,,,,,Yorgan De Castro,32.0,182.9,113.4,188.0,1,4,12,6,14,0,0,0,0,12,,,,,,,,,,,,
Jake Matthews,Decision - Unanimous,3,3,300,900,Welterweight,False,Greg Kleynjans,"October 05, 2019","Melbourne, Victoria, Australia",Jake Matthews,25.0,180.3,77.1,185.4,0,59,133,61,136,0,2,0,0,49,,,,,,,,,,,,,Rostem Akman,27.0,177.8,77.1,182.9,0,15,110,15,110,0,0,0,0,3,,,,,,,,,,,,
Callan Potter,Decision - Unanimous,3,3,300,900,Welterweight,False,Steve Perceval,"October 05, 2019","Melbourne, Victoria, Australia",Callan Potter,35.0,182.9,77.1,182.9,0,48,96,127,198,3,4,0,1,505,,,,,,,,,,,,,Maki Pitolo,28.0,177.8,83.9,190.5,0,60,155,103,198,0,2,1,1,94,,,,,,,,,,,,
Brad Riddell,Decision - Unanimous,3,3,300,900,Lightweight,False,Marc Goddard,"October 05, 2019","Melbourne, Victoria, Australia",Brad Riddell,28.0,170.2,70.3,180.3,0,91,153,104,167,1,1,0,1,179,,,,,,,,,,,,,Jamie Mullarkey,25.0,182.9,70.3,188.0,0,36,95,41,100,3,15,1,1,203,,,,,,,,,,,,
Megan Anderson,Submission,3,1,237,237,Women's Featherweight,False,John Sharp,"October 05, 2019","Melbourne, Victoria, Australia",Megan Anderson,29.0,182.9,65.8,182.9,0,10,18,22,33,1,2,1,0,203,,,,,,,,,,,,,Zarah Fairn,32.0,172.7,65.8,182.9,0,2,5,32,45,0,0,0,1,23,,,,,,,,,,,,
Ji Yeon Kim,KO/TKO,3,2,299,599,Women's Flyweight,False,Jim Perdios,"October 05, 2019","Melbourne, Victoria, Australia",Nadia Kassem,23.0,165.1,56.7,167.6,0,45,131,53,139,1,2,0,0,63,,,,,,,,,,,,,Ji Yeon Kim,29.0,170.2,56.7,182.9,1,80,179,83,185,0,0,0,0,10,,,,,,,,,,,,
Jared Cannonier,KO/TKO,5,2,27,327,Middleweight,False,Marc Goddard,"September 28, 2019","Copenhagen, Denmark",Jack Hermansson,31.0,185.4,83.9,195.6,0,20,42,22,45,1,6,0,0,45,,,,,,,,,,,,,Jared Cannonier,35.0,180.3,83.9,195.6,1,28,53,29,54,0,0,0,0,22,,,,,,,,,,,,
Mark Madsen,KO/TKO,3,1,72,72,Lightweight,False,Leon Roberts,"September 28, 2019","Copenhagen, Denmark",Mark Madsen,35.0,172.7,70.3,182.9,0,22,29,24,31,1,2,0,0,51,,,,,,,,,,,,,Danilo Belluardo,25.0,182.9,70.3,188.0,0,0,1,0,1,0,0,0,0,0,,,,,,,,,,,,
Gilbert Burns,Decision - Unanimous,3,3,300,900,Welterweight,False,Neil Hall,"September 28, 2019","Copenhagen, Denmark",Gunnar Nelson,31.0,180.3,77.1,182.9,0,20,36,26,45,0,2,0,0,288,,,,,,,,,,,,,Gilbert Burns,33.0,177.8,77.1,180.3,0,30,76,46,99,1,3,1,0,115,,,,,,,,,,,,
Ion Cutelaba,KO/TKO,3,1,155,155,Light Heavyweight,False,Marc Goddard,"September 28, 2019","Copenhagen, Denmark",Ion Cutelaba,25.0,185.4,93.0,190.5,0,15,26,16,27,4,5,0,0,80,,,,,,,,,,,,,Khalil Rountree Jr.,29.0,185.4,93.0,193.0,0,5,12,5,12,0,0,0,0,0,,,,,,,,,,,,
Ovince Saint Preux,Submission,3,2,166,466,Light Heavyweight,False,Leon Roberts,"September 28, 2019","Copenhagen, Denmark",Michal Oleksiejczuk,24.0,182.9,93.0,188.0,0,37,78,39,80,0,0,0,0,90,,,,,,,,,,,,,Ovince Saint Preux,36.0,190.5,93.0,203.2,0,14,48,20,54,1,2,1,0,50,,,,,,,,,,,,
Nicolas Dalby,Decision - Unanimous,3,3,300,900,Welterweight,False,Rebin Saber,"September 28, 2019","Copenhagen, Denmark",Nicolas Dalby,34.0,180.3,77.1,188.0,0,31,84,64,122,1,4,0,1,328,,,,,,,,,,,,,Alex Oliveira,31.0,180.3,77.1,193.0,0,18,47,31,65,3,4,0,0,236,,,,,,,,,,,,
John Phillips,KO/TKO,3,1,17,17,Middleweight,False,Neil Hall,"September 28, 2019","Copenhagen, Denmark",Alen Amedovski,31.0,177.8,83.9,188.0,0,2,11,2,11,0,0,0,0,0,,,,,,,,,,,,,John Phillips,34.0,180.3,83.9,190.5,1,5,8,5,8,0,0,0,0,2,,,,,,,,,,,,
Makhmud Muradov,Decision - Unanimous,3,3,300,900,Middleweight,False,Mikkel Birch Olsen,"September 28, 2019","Copenhagen, Denmark",Alessio Di Chirico,29.0,182.9,83.9,188.0,0,36,113,37,114,0,2,0,0,43,,,,,,,,,,,,,Makhmud Muradov,29.0,188.0,83.9,190.5,0,54,169,56,171,0,3,0,0,38,,,,,,,,,,,,
Ismail Naurdiev,Decision - Unanimous,3,3,300,900,Welterweight,False,Marc Goddard,"September 28, 2019","Copenhagen, Denmark",Siyar Bahadurzada,35.0,180.3,77.1,185.4,0,12,96,14,98,0,0,0,0,0,,,,,,,,,,,,,Ismail Naurdiev,23.0,177.8,77.1,188.0,0,69,126,149,218,3,3,0,0,344,,,,,,,,,,,,
Giga Chikadze,Decision - Split,3,3,300,900,Featherweight,False,Rebin Saber,"September 28, 2019","Copenhagen, Denmark",Brandon Davis,29.0,177.8,61.2,182.9,0,34,99,36,103,3,7,0,0,182,,,,,,,,,,,,,Giga Chikadze,31.0,182.9,65.8,188.0,0,59,119,71,133,1,2,0,1,71,,,,,,,,,,,,
Lina Lansberg,Decision - Unanimous,3,3,300,900,Women's Bantamweight,False,Leon Roberts,"September 28, 2019","Copenhagen, Denmark",Macy Chiasson,28.0,180.3,61.2,182.9,0,26,47,58,94,0,4,0,0,347,,,,,,,,,,,,,Lina Lansberg,37.0,170.2,61.2,165.1,0,21,39,49,91,2,4,0,0,465,,,,,,,,,,,,
Marc Diakiese,Decision - Unanimous,3,3,300,900,Lightweight,False,Neil Hall,"September 28, 2019","Copenhagen, Denmark",Marc Diakiese,26.0,177.8,70.3,185.4,0,40,99,45,111,4,7,0,0,308,,,,,,,,,,,,,Lando Vannata,27.0,175.3,70.3,180.3,0,25,70,51,108,0,1,0,0,6,,,,,,,,,,,,
Jack Shore,Submission,3,3,171,771,Bantamweight,False,Mikkel Birch Olsen,"September 28, 2019","Copenhagen, Denmark",Jack Shore,24.0,172.7,61.2,180.3,0,46,92,81,139,4,7,1,0,391,,,,,,,,,,,,,Nohelin Hernandez,25.0,177.8,61.2,180.3,0,6,36,9,39,0,0,0,1,40,,,,,,,,,,,,
Carla Esparza,Decision - Majority,3,3,300,900,Women's Strawweight,False,Jason Herzog,"September 21, 2019","Mexico City, Distrito Federal, Mexico",Carla Esparza,31.0,154.9,52.2,160.0,0,44,80,115,157,4,11,0,1,431,,,,,,,,,,,,,Alexa Grasso,26.0,165.1,52.2,167.6,0,45,103,103,169,0,1,1,1,18,,,,,,,,,,,,
Irene Aldana,Decision - Unanimous,3,3,300,900,Women's Bantamweight,False,Fernando Salas Navarro,"September 21, 2019","Mexico City, Distrito Federal, Mexico",Irene Aldana,31.0,175.3,61.2,172.7,0,125,333,127,335,0,0,0,0,0,,,,,,,,,,,,,Vanessa Melo,31.0,165.1,61.2,165.1,0,68,250,68,250,0,1,0,0,13,,,,,,,,,,,,
Steven Peterson,KO/TKO,3,2,91,391,Featherweight,False,Herb Dean,"September 21, 2019","Mexico City, Distrito Federal, Mexico",Martin Bravo,25.0,172.7,65.8,180.3,0,86,199,93,206,2,5,0,0,38,,,,,,,,,,,,,Steven Peterson,29.0,177.8,65.8,177.8,1,49,105,53,109,0,0,0,0,1,,,,,,,,,,,,
Jose Quinonez,Decision - Unanimous,3,3,300,900,Bantamweight,False,Dan Miragliotta,"September 21, 2019","Mexico City, Distrito Federal, Mexico",Jose Quinonez,29.0,172.7,61.2,175.3,1,60,117,71,130,2,5,0,0,253,,,,,,,,,,,,,Carlos Huachin,23.0,162.6,61.2,170.2,0,32,115,37,121,0,0,0,0,0,,,,,,,,,,,,
Kyle Nelson,KO/TKO,3,1,96,96,Featherweight,False,Jason Herzog,"September 21, 2019","Mexico City, Distrito Federal, Mexico",Marco Polo Reyes,34.0,180.3,70.3,180.3,0,6,10,7,11,0,0,0,0,0,,,,,,,,,,,,,Kyle Nelson,28.0,180.3,70.3,180.3,0,12,16,12,16,0,2,0,0,50,,,,,,,,,,,,
Angela Hill,KO/TKO,3,3,116,716,Women's Strawweight,False,Fernando Salas Navarro,"September 21, 2019","Mexico City, Distrito Federal, Mexico",Ariane Carnelossi,26.0,157.5,52.2,154.9,0,72,186,83,197,0,1,0,0,38,,,,,,,,,,,,,Angela Hill,34.0,160.0,52.2,162.6,0,92,184,93,185,0,0,0,0,59,,,,,,,,,,,,
Sergio Pettis,Decision - Unanimous,3,3,300,900,Flyweight,False,Herb Dean,"September 21, 2019","Mexico City, Distrito Federal, Mexico",Sergio Pettis,26.0,167.6,56.7,175.3,0,96,253,96,253,0,0,0,0,2,,,,,,,,,,,,,Tyson Nam,35.0,170.2,56.7,172.7,0,40,170,43,173,0,0,0,0,46,,,,,,,,,,,,
Paul Craig,Submission,3,1,199,199,Light Heavyweight,False,Dan Miragliotta,"September 21, 2019","Mexico City, Distrito Federal, Mexico",Vinicius Moreira,30.0,193.0,93.0,193.0,0,1,3,1,3,0,0,0,0,51,,,,,,,,,,,,,Paul Craig,31.0,190.5,93.0,193.0,1,18,27,33,43,1,1,1,0,128,,,,,,,,,,,,
Bethe Correia,Decision - Unanimous,3,3,300,900,Women's Bantamweight,False,Jason Herzog,"September 21, 2019","Mexico City, Distrito Federal, Mexico",Sijara Eubanks,34.0,162.6,61.2,170.2,0,77,169,94,186,1,5,0,0,145,,,,,,,,,,,,,Bethe Correia,36.0,165.1,61.2,162.6,0,59,127,77,146,0,1,0,0,84,,,,,,,,,,,,
Claudio Puelles,Decision - Unanimous,3,3,300,900,Lightweight,False,Fernando Salas Navarro,"September 21, 2019","Mexico City, Distrito Federal, Mexico",Claudio Puelles,23.0,180.3,70.3,182.9,0,22,34,101,116,4,6,2,0,800,,,,,,,,,,,,,Marcos Mariano,32.0,185.4,70.3,193.0,0,2,9,5,12,0,0,0,0,48,,,,,,,,,,,,
Justin Gaethje,KO/TKO,5,1,258,258,Lightweight,False,Jerin Valel,"September 14, 2019","Vancouver, British Columbia, Canada",Donald Cerrone,36.0,185.4,70.3,185.4,0,17,52,17,52,0,0,0,0,0,,,,,,,,,,,,,Justin Gaethje,30.0,180.3,70.3,177.8,1,40,61,40,61,0,0,0,0,4,,,,,,,,,,,,
Glover Teixeira,Decision - Split,3,3,300,900,Light Heavyweight,False,Yves Lavigne,"September 14, 2019","Vancouver, British Columbia, Canada",Glover Teixeira,39.0,188.0,93.0,193.0,0,43,71,85,119,1,6,2,2,262,,,,,,,,,,,,,Nikita Krylov,27.0,190.5,93.0,195.6,0,47,95,74,123,2,4,1,1,279,,,,,,,,,,,,
Tristan Connelly,Decision - Unanimous,3,3,300,900,Welterweight,False,Jason Herzog,"September 14, 2019","Vancouver, British Columbia, Canada",Michel Pereira,25.0,185.4,77.1,185.4,0,32,75,56,107,2,5,0,0,183,,,,,,,,,,,,,Tristan Connelly,33.0,177.8,77.1,172.7,0,64,125,151,222,0,6,1,0,343,,,,,,,,,,,,
Uriah Hall,Decision - Split,3,3,300,900,Middleweight,False,Jerin Valel,"September 14, 2019","Vancouver, British Columbia, Canada",Uriah Hall,35.0,182.9,83.9,200.7,1,34,79,41,86,0,0,0,0,25,,,,,,,,,,,,,Antonio Carlos Junior,29.0,188.0,83.9,200.7,0,22,69,81,148,3,8,0,0,642,,,,,,,,,,,,
Misha Cirkunov,Submission,3,1,218,218,Light Heavyweight,False,Yves Lavigne,"September 14, 2019","Vancouver, British Columbia, Canada",Misha Cirkunov,32.0,190.5,93.0,195.6,0,6,10,22,29,1,2,1,2,150,,,,,,,,,,,,,Jimmy Crute,23.0,188.0,93.0,188.0,0,21,35,28,45,0,0,0,1,44,,,,,,,,,,,,
