WINNER,WIN_BY,NUM_OF_ROUNDS,LAST_ROUND,LAST_ROUND_TIME,TOTAL_FIGHT_TIME,WEIGHT_CATEGORY,TITLE_BOUT,REFEREE,DATE,LOCATION,R_NAME,R_AGE,R_HEIGHT,R_WEIGHT,R_REACH,R_KD,R_SIG_STR,R_SIG_STR_ATT,R_TOTAL_STR,R_TOTAL_STR_ATT,R_TD,R_TD_ATT,R_SUB_ATT,R_REV,R_CTRL,R_SIG_HEAD,R_SIG_HEAD_ATT,R_SIG_BODY,R_SIG_BODY_ATT,R_SIG_LEG,R_SIG_LEG_ATT,R_SIG_DIST,R_SIG_DIST_ATT,R_SIG_CLINCH,R_SIG_CLINCH_ATT,R_SIG_GROUND,R_SIG_GROUND_ATT,B_NAME,B_AGE,B_HEIGHT,B_WEIGHT,B_REACH,B_KD,B_SIG_STR,B_SIG_STR_ATT,B_TOTAL_STR,B_TOTAL_STR_ATT,B_TD,B_TD_ATT,B_SUB_ATT,B_REV,B_CTRL,B_SIG_HEAD,B_SIG_HEAD_ATT,B_SIG_BODY,B_SIG_BODY_ATT,B_SIG_LEG,B_SIG_LEG_ATT,B_SIG_DIST,B_SIG_DIST_ATT,B_SIG_CLINCH,B_SIG_CLINCH_ATT,B_SIG_GROUND,B_SIG_GROUND_ATT
Spencer Fisher,Submission,3,2,283,583,Welterweight,False,Herb Dean,"October 03, 2005","Las Vegas, Nevada, USA",Spencer Fisher,29.0,170.2,70.3,172.7,0,13,36,22,46,1,2,3,0,75,,,,,,,,,,,,,Thiago Alves,22.0,175.3,77.1,177.8,0,19,53,84,135,3,3,0,0,388,,,,,,,,,,,,
Jon Fitch,Decision - Unanimous,3,3,300,900,Middleweight,False,Steve Mazzagatti,"October 03, 2005","Las Vegas, Nevada, USA",Jon Fitch,27.0,182.9,77.1,188.0,0,25,49,146,170,5,7,2,0,609,,,,,,,,,,,,,Brock Larson,28.0,180.3,77.1,180.3,0,14,20,19,25,1,4,3,0,176,,,,,,,,,,,,
Jonathan Goulet,KO/TKO,3,3,65,665,Welterweight,False,Jon Schorle,"October 03, 2005","Las Vegas, Nevada, USA",Jonathan Goulet,26.0,182.9,77.1,185.4,0,14,42,63,101,0,0,1,3,39,,,,,,,,,,,,,Jay Hieron,29.0,182.9,77.1,190.5,0,10,26,29,48,9,12,3,0,440,,,,,,,,,,,,
Chuck Liddell,KO/TKO,5,4,166,1066,Light Heavyweight,True,John McCarthy,"August 20, 2005","Las Vegas, Nevada, USA",Chuck Liddell,35.0,188.0,93.0,193.0,2,64,191,64,191,0,0,0,0,77,,,,,,,,,,,,,Jeremy Horn,29.0,185.4,83.9,188.0,0,31,87,31,87,0,8,0,0,3,,,,,,,,,,,,
Tim Sylvia,KO/TKO,3,1,299,299,Heavyweight,False,Mario Yamasaki,"August 20, 2005","Las Vegas, Nevada, USA",Tim Sylvia,29.0,203.2,120.2,203.2,1,31,69,32,70,0,0,0,0,1,,,,,,,,,,,,,Tra Telligman,40.0,188.0,105.7,,0,13,40,13,40,0,0,0,0,0,,,,,,,,,,,,
Randy Couture,Submission,3,3,52,652,Light Heavyweight,False,Herb Dean,"August 20, 2005","Las Vegas, Nevada, USA",Randy Couture,42.0,185.4,93.0,190.5,0,27,46,40,60,4,6,3,0,427,,,,,,,,,,,,,Mike van Arsdale,40.0,188.0,93.0,,0,8,40,9,41,1,9,0,0,69,,,,,,,,,,,,
Diego Sanchez,KO/TKO,3,2,116,416,Welterweight,False,Steve Mazzagatti,"August 20, 2005","Las Vegas, Nevada, USA",Diego Sanchez,23.0,177.8,77.1,182.9,0,35,64,52,86,3,6,1,0,317,,,,,,,,,,,,,Brian Gassaway,33.0,185.4,77.1,,0,3,6,3,6,0,0,0,0,23,,,,,,,,,,,,
Georges St-Pierre,Submission,3,1,249,249,Welterweight,False,John McCarthy,"August 20, 2005","Las Vegas, Nevada, USA",Georges St-Pierre,24.0,180.3,83.9,193.0,0,25,32,37,44,1,1,2,0,217,,,,,,,,,,,,,Frank Trigg,33.0,175.3,77.1,180.3,0,1,3,1,3,0,1,0,0,0,,,,,,,,,,,,
Matt Lindland,Decision - Unanimous,3,3,300,900,Middleweight,False,Mario Yamasaki,"August 20, 2005","Las Vegas, Nevada, USA",Matt Lindland,35.0,182.9,83.9,188.0,0,19,43,70,102,4,4,4,1,724,,,,,,,,,,,,,Joe Doerksen,27.0,182.9,83.9,190.5,0,8,15,22,30,2,5,1,0,82,,,,,,,,,,,,
Trevor Prangley,Decision - Unanimous,3,3,300,900,Middleweight,False,Herb Dean,"August 20, 2005","Las Vegas, Nevada, USA",Trevor Prangley,32.0,185.4,83.9,190.5,0,54,70,140,160,5,6,0,0,651,,,,,,,,,,,,,Travis Lutter,32.0,180.3,83.9,190.5,0,9,19,16,26,0,7,0,0,101,,,,,,,,,,,,
