WINNER,NUM_OF_ROUNDS,LAST_ROUND,LAST_ROUND_TIME,TOTAL_FIGHT_TIME,TITLE_BOUT,DECISION_MAJORITY,DECISION_SPLIT,DECISION_UNANIMOUS,KO/TKO,SUBMISSION,BANTAMWEIGHT,CATCH WEIGHT,FEATHERWEIGHT,FLYWEIGHT,HEAVYWEIGHT,LIGHT HEAVYWEIGHT,LIGHTWEIGHT,MIDDLEWEIGHT,WELTERWEIGHT,WOMEN'S BANTAMWEIGHT,WOMEN'S FEATHERWEIGHT,WOMEN'S FLYWEIGHT,WOMEN'S STRAWWEIGHT,REFEREE,DATE,LOCATION,R_ODDS,B_ODDS,R_NAME,R_AGE,R_HEIGHT,R_WEIGHT,R_REACH,R_STYLE,R_KD,R_SIG_STR,R_SIG_STR_ATT,R_TOTAL_STR,R_TOTAL_STR_ATT,R_TD,R_TD_ATT,R_SUB_ATT,R_REV,R_CTRL,R_HEAD,R_HEAD_ATT,R_BODY,R_BODY_ATT,R_LEG,R_LEG_ATT,R_DISTANCE,R_DISTANCE_ATT,R_CLINCH,R_CLINCH_ATT,R_GROUND,R_GROUND_ATT,B_NAME,B_AGE,B_HEIGHT,B_WEIGHT,B_REACH,B_STYLE,B_KD,B_SIG_STR,B_SIG_STR_ATT,B_TOTAL_STR,B_TOTAL_STR_ATT,B_TD,B_TD_ATT,B_SUB_ATT,B_REV,B_CTRL,B_HEAD,B_HEAD_ATT,B_BODY,B_BODY_ATT,B_LEG,B_LEG_ATT,B_DISTANCE,B_DISTANCE_ATT,B_CLINCH,B_CLINCH_ATT,B_GROUND,B_GROUND_ATT
Alexander Volkov,3,3,300,900,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grant Waterman,"November 19, 2016","Belfast, Northern Ireland, United Kingdom",1.67,2.3,Timothy Johnson,31.0,190.5,120.2,195.6,0,1,43,93,62,116,1,8,0,0,273,36,83,5,7,2,3,13,53,8,10,22,30,Alexander Volkov,28.0,200.7,113.4,203.2,5,0,45,84,91,141,1,2,0,0,225,35,71,9,12,1,1,31,68,14,16,0,0
Artem Lobov,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Rich Mitchell,"November 19, 2016","Belfast, Northern Ireland, United Kingdom",3.2,1.38,Artem Lobov,30.0,175.3,65.8,165.1,0,0,82,160,86,165,1,1,0,0,49,45,111,12,14,25,35,74,150,4,5,4,5,Teruto Ishihara,25.0,170.2,61.2,175.3,0,1,48,119,55,131,0,4,0,0,69,20,77,12,25,16,17,45,116,1,1,2,2
Jack Marshman,3,2,220,520,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Leon Roberts,"November 19, 2016","Belfast, Northern Ireland, United Kingdom",1.4,3.1,Magnus Cedenblad,34.0,195.6,83.9,200.7,4,0,36,83,78,136,3,3,0,0,270,25,68,6,9,5,6,25,65,0,0,11,18,Jack Marshman,26.0,182.9,83.9,185.4,4,2,42,91,50,107,0,0,0,0,13,33,75,7,11,2,5,32,74,0,0,10,17
Kyoji Horiguchi,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Grant Waterman,"November 19, 2016","Belfast, Northern Ireland, United Kingdom",1.5,2.7,Kyoji Horiguchi,26.0,165.1,56.7,167.6,0,0,55,92,115,161,4,9,0,0,272,47,81,4,7,4,4,26,58,27,32,2,2,Ali Bagautinov,31.0,162.6,56.7,165.1,0,0,36,84,48,97,2,6,0,0,169,9,47,17,25,10,12,21,66,12,15,3,3
Kevin Lee,3,2,271,571,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Rich Mitchell,"November 19, 2016","Belfast, Northern Ireland, United Kingdom",1.69,2.25,Kevin Lee,24.0,175.3,77.1,195.6,0,0,20,28,46,54,7,9,2,0,397,13,21,7,7,0,0,1,8,7,7,12,13,Magomed Mustafaev,28.0,172.7,70.3,180.3,4,0,20,34,34,49,0,2,1,0,61,11,20,9,14,0,0,11,22,6,9,3,3
Justin Ledet,3,1,136,136,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marc Goddard,"November 19, 2016","Belfast, Northern Ireland, United Kingdom",1.71,2.3,Justin Ledet,28.0,193.0,93.0,203.2,0,0,3,11,8,17,1,1,1,0,75,3,11,0,0,0,0,2,10,0,0,1,1,Mark Godbeer,32.0,193.0,108.9,195.6,0,0,5,11,7,13,0,1,0,0,10,2,6,0,1,3,4,5,11,0,0,0,0
Zak Cummings,3,2,242,542,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Leon Roberts,"November 19, 2016","Belfast, Northern Ireland, United Kingdom",1.59,2.5,Zak Cummings,32.0,182.9,83.9,190.5,4,0,24,80,38,94,0,0,1,0,70,14,67,3,6,7,7,22,74,2,5,0,1,Alexander Yakovlev,32.0,190.5,70.3,188.0,4,0,18,41,18,41,1,2,0,0,2,9,27,4,6,5,8,18,40,0,0,0,1
Conor McGregor,5,2,184,484,True,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,John McCarthy,"November 12, 2016","New York City, New York, USA",2.4,1.62,Eddie Alvarez,32.0,175.3,70.3,175.3,0,0,9,41,12,46,0,3,0,0,57,2,27,6,10,1,4,9,41,0,0,0,0,Conor McGregor,28.0,175.3,70.3,188.0,5,3,32,84,40,93,0,0,0,0,53,24,71,7,11,1,2,24,67,3,5,5,12
Joanna Jedrzejczyk,5,5,300,1500,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Keith Peterson,"November 12, 2016","New York City, New York, USA",1.25,4.25,Joanna Jedrzejczyk,29.0,167.6,52.2,165.1,5,0,171,360,181,371,1,1,0,0,209,63,191,44,81,64,88,126,293,45,67,0,0,Karolina Kowalkiewicz,31.0,160.0,52.2,162.6,5,0,50,220,63,234,0,1,0,0,214,36,188,11,22,3,10,36,195,14,25,0,0
Yoel Romero,3,3,24,624,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Mario Yamasaki,"November 12, 2016","New York City, New York, USA",1.45,2.8,Chris Weidman,32.0,188.0,83.9,198.1,0,0,12,47,16,54,1,8,0,0,25,2,22,6,15,4,10,12,46,0,1,0,0,Yoel Romero,39.0,182.9,83.9,185.4,0,1,18,40,27,51,2,3,0,0,113,13,32,2,3,3,5,9,24,1,2,8,14
Raquel Pennington,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Dan Miragliotta,"November 12, 2016","New York City, New York, USA",1.71,2.2,Miesha Tate,30.0,167.6,61.2,167.6,1,0,21,65,48,93,1,5,0,0,267,8,34,11,28,2,3,11,47,10,18,0,0,Raquel Pennington,28.0,170.2,61.2,170.2,0,0,43,77,111,156,1,1,3,0,407,31,65,8,8,4,4,19,46,13,15,11,16
Frankie Edgar,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Keith Peterson,"November 12, 2016","New York City, New York, USA",1.31,3.65,Frankie Edgar,35.0,167.6,61.2,172.7,0,0,40,76,45,81,5,14,2,1,289,29,62,7,9,4,5,33,65,3,4,4,7,Jeremy Stephens,30.0,175.3,65.8,180.3,0,1,33,146,41,154,0,0,1,0,3,23,133,4,5,6,8,25,136,7,9,1,1
Khabib Nurmagomedov,3,3,151,751,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,John McCarthy,"November 12, 2016","New York City, New York, USA",1.29,3.85,Khabib Nurmagomedov,28.0,177.8,70.3,177.8,0,0,94,142,140,190,2,6,1,0,524,93,141,1,1,0,0,5,21,1,1,88,120,Michael Johnson,30.0,177.8,70.3,185.4,0,0,19,77,20,78,0,0,1,0,0,9,51,7,21,3,5,19,77,0,0,0,0
Tim Boetsch,3,1,202,202,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"November 12, 2016","New York City, New York, USA",1.69,2.25,Rafael Natal,33.0,182.9,83.9,195.6,0,0,5,18,5,18,0,1,0,0,0,2,13,1,2,2,3,5,18,0,0,0,0,Tim Boetsch,35.0,182.9,83.9,188.0,0,1,14,25,14,25,0,0,0,0,4,9,17,1,4,4,4,11,22,0,0,3,3
Vicente Luque,3,1,79,79,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,John McCarthy,"November 12, 2016","New York City, New York, USA",1.8,2.05,Vicente Luque,24.0,180.3,77.1,190.5,5,1,9,21,9,21,0,0,0,0,3,5,16,2,3,2,2,5,17,0,0,4,4,Belal Muhammad,28.0,180.3,77.1,182.9,5,0,3,10,3,10,0,0,0,0,0,2,8,0,0,1,2,3,10,0,0,0,0
Jim Miller,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Keith Peterson,"November 12, 2016","New York City, New York, USA",2.35,1.65,Jim Miller,33.0,172.7,70.3,180.3,1,0,28,85,45,105,4,5,1,0,384,19,72,5,7,4,6,22,76,1,2,5,7,Thiago Alves,33.0,175.3,77.1,177.8,0,0,36,112,50,127,0,0,0,0,33,19,90,11,15,6,7,30,100,3,4,3,8
Liz Carmouche,3,3,300,900,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,Mario Yamasaki,"November 12, 2016","New York City, New York, USA",2.45,1.61,Liz Carmouche,32.0,167.6,56.7,167.6,4,0,27,64,49,88,4,7,0,0,456,6,32,5,7,16,25,21,57,2,3,4,4,Katlyn Chookagian,27.0,175.3,56.7,172.7,0,1,22,115,64,160,0,0,0,0,10,11,94,5,11,6,10,17,104,3,8,2,3
Tony Ferguson,5,5,300,1500,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Herb Dean,"November 05, 2016","Mexico City, Distrito Federal, Mexico",1.71,2.2,Rafael Dos Anjos,32.0,172.7,70.3,177.8,0,0,121,276,126,281,0,5,0,0,30,84,223,18,33,19,20,119,271,1,1,1,4,Tony Ferguson,32.0,180.3,70.3,193.0,5,0,199,401,200,402,0,2,0,0,0,126,312,28,42,45,47,196,397,3,4,0,0
Diego Sanchez,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mario Yamasaki,"November 05, 2016","Mexico City, Distrito Federal, Mexico",3.5,1.33,Diego Sanchez,34.0,177.8,77.1,182.9,4,0,46,81,69,108,0,1,0,0,555,31,62,12,16,3,3,21,52,0,0,25,29,Marcin Held,24.0,175.3,70.3,180.3,4,0,30,82,57,112,0,2,1,0,18,30,80,0,2,0,0,23,70,3,4,4,8
Ricardo Lamas,3,2,133,433,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerin Valel,"November 05, 2016","Mexico City, Distrito Federal, Mexico",1.91,1.91,Ricardo Lamas,34.0,172.7,65.8,180.3,0,0,11,20,13,22,1,1,1,1,147,7,14,1,3,3,3,8,15,0,0,3,5,Charles Oliveira,27.0,177.8,70.3,188.0,1,0,13,18,36,42,2,2,2,0,218,11,16,1,1,1,1,6,9,1,2,6,7
Beneil Dariush,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Herb Dean,"November 05, 2016","Mexico City, Distrito Federal, Mexico",1.87,1.95,Beneil Dariush,27.0,177.8,70.3,182.9,0,0,60,120,73,134,0,5,0,0,250,20,61,28,44,12,15,25,71,35,49,0,0,Rashid Magomedov,31.0,175.3,70.3,177.8,5,0,41,78,79,129,1,2,0,0,163,24,55,14,20,3,3,28,57,13,19,0,2
Alexa Grasso,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,Keith Peterson,"November 05, 2016","Mexico City, Distrito Federal, Mexico",1.16,5.6,Alexa Grasso,23.0,165.1,52.2,167.6,5,0,65,134,120,200,1,2,0,0,201,28,86,22,30,15,18,35,81,26,48,4,5,Heather Clark,36.0,167.6,52.2,162.6,0,0,40,87,74,127,0,4,0,0,138,17,59,16,21,7,7,26,70,14,17,0,0
Erik Perez,3,3,300,900,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mario Yamasaki,"November 05, 2016","Mexico City, Distrito Federal, Mexico",1.42,3.0,Erik Perez,26.0,172.7,61.2,172.7,0,0,36,96,103,177,3,5,0,1,426,21,78,12,15,3,3,11,61,0,1,25,34,Felipe Arantes,28.0,172.7,61.2,185.4,4,0,34,68,42,76,0,0,2,1,116,18,48,5,8,11,12,30,62,1,2,3,4
Joe Soto,3,1,97,97,False,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Miguel Jimenez,"November 05, 2016","Mexico City, Distrito Federal, Mexico",1.74,2.15,Marco Beltran,30.0,172.7,56.7,175.3,4,0,3,8,3,9,0,0,0,0,0,1,5,2,2,0,1,2,7,0,0,1,1,Joe Soto,29.0,167.6,61.2,165.1,0,0,2,2,2,2,1,1,1,0,26,0,0,0,0,2,2,2,2,0,0,0,0
Max Griffin,3,1,54,54,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Jerin Valel,"November 05, 2016","Mexico City, Distrito Federal, Mexico",2.25,1.74,Erick Montano,30.0,182.9,77.1,185.4,4,0,3,7,3,7,0,0,0,0,0,2,5,0,1,1,1,3,7,0,0,0,0,Max Griffin,30.0,180.3,77.1,193.0,0,0,15,30,15,30,0,0,0,0,13,14,29,1,1,0,0,4,7,0,1,11,22
Douglas Silva de Andrade,3,3,153,753,False,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Keith Peterson,"November 05, 2016","Mexico City, Distrito Federal, Mexico",1.95,1.87,Henry Briones,36.0,172.7,61.2,175.3,0,0,67,144,69,146,0,1,0,0,2,33,100,31,40,3,4,63,136,4,7,0,1,Douglas Silva de Andrade,31.0,170.2,65.8,172.7,0,1,72,158,72,158,1,1,0,0,10,57,138,8,13,7,7,68,153,3,4,1,1
Sam Alvey,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Herb Dean,"November 05, 2016","Mexico City, Distrito Federal, Mexico",1.61,2.45,Sam Alvey,30.0,188.0,93.0,190.5,0,0,63,138,65,140,0,2,0,0,40,39,110,13,15,11,13,62,136,1,2,0,0,Alex Nicholson,26.0,193.0,83.9,195.6,0,0,82,182,82,182,0,0,0,0,0,51,141,16,25,15,16,81,180,1,2,0,0
Michael Bisping,5,5,300,1500,True,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Yves Lavigne,"October 08, 2016","Manchester, England, United Kingdom",1.38,3.2,Michael Bisping,37.0,185.4,83.9,190.5,0,0,119,335,130,348,0,0,0,0,1,90,293,10,17,19,25,116,326,1,5,2,4,Dan Henderson,46.0,180.3,83.9,188.0,4,2,81,220,87,227,1,4,0,0,103,46,182,6,7,29,31,71,194,2,6,8,20
Gegard Mousasi,3,2,163,463,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Marc Goddard,"October 08, 2016","Manchester, England, United Kingdom",4.0,1.28,Vitor Belfort,39.0,182.9,83.9,188.0,4,0,8,26,9,27,0,0,0,0,0,5,21,3,5,0,0,6,23,2,3,0,0,Gegard Mousasi,31.0,188.0,83.9,193.0,0,0,57,114,65,124,1,4,0,0,92,41,95,4,7,12,12,29,57,14,30,14,27
Jimi Manuwa,3,2,158,458,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Leon Roberts,"October 08, 2016","Manchester, England, United Kingdom",1.69,2.25,Ovince Saint Preux,33.0,190.5,93.0,203.2,4,0,13,38,17,44,2,3,0,0,206,7,29,4,7,2,2,10,34,2,3,1,1,Jimi Manuwa,36.0,185.4,93.0,200.7,0,1,32,47,33,48,0,3,1,0,30,12,25,9,11,11,11,20,32,12,14,0,1
Stefan Struve,3,2,101,401,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin Sataki,"October 08, 2016","Manchester, England, United Kingdom",1.53,2.65,Stefan Struve,28.0,210.8,120.2,213.4,0,0,9,23,12,26,2,4,1,0,165,3,10,6,13,0,0,8,21,1,1,0,1,Daniel Omielanczuk,34.0,182.9,112.0,188.0,0,0,14,30,21,39,0,1,0,0,70,6,17,2,6,6,7,12,27,2,3,0,0
Mirsad Bektic,3,1,262,262,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Yves Lavigne,"October 08, 2016","Manchester, England, United Kingdom",1.17,5.4,Mirsad Bektic,25.0,172.7,65.8,177.8,4,0,4,10,20,27,4,6,2,0,201,4,10,0,0,0,0,4,10,0,0,0,0,Russell Doane,30.0,170.2,61.2,177.8,4,0,6,15,6,16,0,0,0,0,0,3,9,0,1,3,5,4,11,1,1,1,3
Iuri Alcantara,3,1,119,119,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Marc Goddard,"October 08, 2016","Manchester, England, United Kingdom",2.3,1.67,Brad Pickett,38.0,167.6,61.2,172.7,0,0,1,3,1,3,0,0,0,0,11,0,1,1,1,0,1,0,2,1,1,0,0,Iuri Alcantara,36.0,175.3,61.2,180.3,4,1,26,39,26,39,0,0,2,0,29,22,33,4,6,0,0,10,21,1,1,15,17
Damian Stasiak,3,3,176,776,False,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin Sataki,"October 08, 2016","Manchester, England, United Kingdom",1.53,2.65,Davey Grant,30.0,172.7,61.2,175.3,0,0,36,84,44,93,2,2,0,0,89,23,67,11,14,2,3,20,56,13,22,3,6,Damian Stasiak,26.0,165.1,61.2,177.8,4,0,10,39,18,47,4,9,1,1,255,7,27,3,12,0,0,8,35,1,3,1,1
Leon Edwards,3,3,181,781,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Yves Lavigne,"October 08, 2016","Manchester, England, United Kingdom",2.5,1.59,Leon Edwards,25.0,188.0,77.1,188.0,4,0,16,72,31,89,3,10,1,0,272,7,55,7,14,2,3,14,69,2,3,0,0,Albert Tumenov,24.0,180.3,77.1,185.4,0,0,32,83,34,86,0,0,0,0,0,28,75,3,7,1,1,31,80,1,3,0,0
Marc Diakiese,3,2,280,580,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Leon Roberts,"October 08, 2016","Manchester, England, United Kingdom",3.45,1.34,Lukasz Sajewski,25.0,172.7,70.3,180.3,4,0,21,54,25,59,2,6,0,0,215,8,39,12,13,1,2,13,42,1,4,7,8,Marc Diakiese,23.0,177.8,70.3,185.4,0,0,48,116,61,129,1,1,0,0,7,36,99,5,9,7,8,34,86,13,29,1,1
Mike Perry,3,3,280,880,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Marc Goddard,"October 08, 2016","Manchester, England, United Kingdom",2.1,1.77,Danny Roberts,29.0,185.4,77.1,188.0,0,0,81,239,81,239,0,4,0,0,0,53,199,6,16,22,24,79,234,2,5,0,0,Mike Perry,25.0,177.8,77.1,180.3,0,1,90,214,103,228,0,0,0,0,102,78,195,5,12,7,7,57,162,15,31,18,21
Leonardo Santos,3,3,300,900,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin Sataki,"October 08, 2016","Manchester, England, United Kingdom",2.75,1.48,Leonardo Santos,36.0,182.9,70.3,190.5,4,0,23,70,23,70,0,1,0,0,0,9,47,7,16,7,7,22,69,1,1,0,0,Adriano Martins,33.0,177.8,70.3,182.9,4,0,34,83,34,84,0,0,0,0,0,8,48,6,10,20,25,34,83,0,0,0,0
John Lineker,5,5,300,1500,False,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,John McCarthy,"October 01, 2016","Portland, Oregon, USA",2.05,1.8,John Lineker,26.0,160.0,61.2,170.2,5,0,93,322,94,323,0,0,0,0,0,47,223,35,84,11,15,83,300,10,22,0,0,John Dodson,32.0,160.0,61.2,167.6,0,0,101,191,101,191,0,6,0,0,23,56,140,26,30,19,21,98,186,3,5,0,0
Alex Oliveira,3,3,210,810,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Herb Dean,"October 01, 2016","Portland, Oregon, USA",1.31,3.6,Will Brooks,29.0,177.8,70.3,182.9,0,0,16,17,29,37,4,8,0,0,225,2,2,9,10,5,5,5,5,9,10,2,2,Alex Oliveira,28.0,180.3,77.1,193.0,0,0,48,59,80,102,4,10,1,0,491,21,27,11,12,16,20,6,10,28,33,14,16
Zak Ottow,3,3,300,900,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,John McCarthy,"October 01, 2016","Portland, Oregon, USA",1.38,3.2,Joshua Burkman,36.0,177.8,77.1,182.9,4,0,47,126,50,129,1,4,0,0,76,12,74,8,19,27,33,42,120,5,6,0,0,Zak Ottow,29.0,180.3,77.1,182.9,4,0,65,149,80,165,0,2,1,0,9,31,106,14,20,20,23,62,144,2,3,1,2
Brandon Moreno,3,1,143,143,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"October 01, 2016","Portland, Oregon, USA",1.19,5.5,Louis Smolka,25.0,175.3,61.2,172.7,0,0,7,13,17,23,1,1,0,0,17,6,12,1,1,0,0,2,8,0,0,5,5,Brandon Moreno,22.0,170.2,56.7,177.8,0,0,8,11,21,24,1,1,2,0,97,7,10,1,1,0,0,3,4,1,1,4,6
Henrique da Silva,3,2,283,583,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,John McCarthy,"October 01, 2016","Portland, Oregon, USA",1.74,2.15,Henrique da Silva,27.0,190.5,93.0,193.0,0,0,44,76,53,85,0,0,1,1,173,17,44,23,27,4,5,25,49,16,20,3,7,Joachim Christensen,37.0,190.5,93.0,193.0,0,1,50,124,96,177,0,0,0,0,168,42,114,4,6,4,4,27,88,11,18,12,18
Andre Fili,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"October 01, 2016","Portland, Oregon, USA",1.67,2.3,Hacran Dias,32.0,172.7,70.3,175.3,4,0,25,69,46,91,4,13,1,0,333,20,60,2,6,3,3,20,60,1,2,4,7,Andre Fili,26.0,180.3,65.8,188.0,0,1,45,124,72,151,1,2,0,1,140,34,107,3,6,8,11,24,83,1,4,20,37
Shamil Abdurakhimov,3,3,300,900,False,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Herb Dean,"October 01, 2016","Portland, Oregon, USA",1.69,2.25,Shamil Abdurakhimov,35.0,190.5,106.6,193.0,4,0,47,128,52,135,1,8,0,0,44,21,91,6,10,20,27,39,108,7,16,1,4,Walt Harris,33.0,195.6,113.4,195.6,0,0,33,98,36,101,0,0,1,0,29,21,79,7,12,5,7,24,83,9,15,0,0
Elizeu Zaleski dos Santos,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,Dave Hagen,"October 01, 2016","Portland, Oregon, USA",1.8,2.05,Keita Nakamura,32.0,180.3,77.1,185.4,4,0,24,58,64,113,5,6,0,0,461,21,53,3,5,0,0,16,46,3,5,5,7,Elizeu Zaleski dos Santos,29.0,180.3,77.1,185.4,0,0,34,120,45,131,1,1,2,0,76,24,105,6,10,4,5,25,101,5,12,4,7
Nate Marquardt,3,2,284,584,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,John McCarthy,"October 01, 2016","Portland, Oregon, USA",2.4,1.62,Nate Marquardt,37.0,182.9,83.9,188.0,4,1,24,39,48,65,2,2,0,0,301,11,22,9,11,4,6,19,33,1,2,4,4,Tamdan McCrory,29.0,193.0,83.9,193.0,1,0,16,52,19,55,0,0,0,0,6,5,38,4,6,7,8,16,51,0,1,0,0
Ion Cutelaba,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Herb Dean,"October 01, 2016","Portland, Oregon, USA",2.0,1.83,Jonathan Wilson,29.0,188.0,93.0,190.5,0,0,30,78,32,80,0,0,0,0,24,21,69,6,6,3,3,30,74,0,4,0,0,Ion Cutelaba,22.0,185.4,93.0,190.5,5,0,89,283,92,286,0,1,0,0,8,59,246,20,27,10,10,68,240,21,43,0,0
