WINNER,NUM_OF_ROUNDS,LAST_ROUND,LAST_ROUND_TIME,TOTAL_FIGHT_TIME,TITLE_BOUT,DECISION_MAJORITY,DECISION_SPLIT,DECISION_UNANIMOUS,KO/TKO,SUBMISSION,BANTAMWEIGHT,CATCH WEIGHT,FEATHERWEIGHT,FLYWEIGHT,HEAVYWEIGHT,LIGHT HEAVYWEIGHT,LIGHTWEIGHT,MIDDLEWEIGHT,WELTERWEIGHT,WOMEN'S BANTAMWEIGHT,WOMEN'S FEATHERWEIGHT,WOMEN'S FLYWEIGHT,WOMEN'S STRAWWEIGHT,REFEREE,DATE,LOCATION,R_ODDS,B_ODDS,R_NAME,R_AGE,R_HEIGHT,R_WEIGHT,R_REACH,R_STYLE,R_KD,R_SIG_STR,R_SIG_STR_ATT,R_TOTAL_STR,R_TOTAL_STR_ATT,R_TD,R_TD_ATT,R_SUB_ATT,R_REV,R_CTRL,R_HEAD,R_HEAD_ATT,R_BODY,R_BODY_ATT,R_LEG,R_LEG_ATT,R_DISTANCE,R_DISTANCE_ATT,R_CLINCH,R_CLINCH_ATT,R_GROUND,R_GROUND_ATT,B_NAME,B_AGE,B_HEIGHT,B_WEIGHT,B_REACH,B_STYLE,B_KD,B_SIG_STR,B_SIG_STR_ATT,B_TOTAL_STR,B_TOTAL_STR_ATT,B_TD,B_TD_ATT,B_SUB_ATT,B_REV,B_CTRL,B_HEAD,B_HEAD_ATT,B_BODY,B_BODY_ATT,B_LEG,B_LEG_ATT,B_DISTANCE,B_DISTANCE_ATT,B_CLINCH,B_CLINCH_ATT,B_GROUND,B_GROUND_ATT
Deiveson Figueiredo,5,2,114,414,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"February 29, 2020","Norfolk, Virginia, USA",1.67,2.3,Joseph Benavidez,35.0,162.6,56.7,165.1,0,0,46,94,46,94,0,2,0,0,10,28,63,8,13,10,18,36,78,10,16,0,0,Deiveson Figueiredo,32.0,165.1,56.7,172.7,1,1,25,49,25,49,1,1,1,0,27,18,39,7,10,0,0,20,44,2,2,3,3
Felicia Spencer,3,1,217,217,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Dan Miragliotta,"February 29, 2020","Norfolk, Virginia, USA",1.11,6.85,Felicia Spencer,29.0,167.6,65.8,172.7,0,0,40,64,68,98,1,2,0,0,141,38,61,1,1,1,2,9,24,1,1,30,39,Zarah Fairn,33.0,172.7,65.8,182.9,4,0,13,28,14,29,0,0,0,0,0,12,27,1,1,0,0,12,26,1,2,0,0
Magomed Ankalaev,3,1,38,38,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin MacDonald,"February 29, 2020","Norfolk, Virginia, USA",2.85,1.44,Ion Cutelaba,26.0,185.4,93.0,190.5,5,0,5,11,5,11,0,0,0,0,0,3,8,0,1,2,2,5,11,0,0,0,0,Magomed Ankalaev,27.0,190.5,93.0,190.5,0,0,8,12,8,12,0,0,0,0,0,6,10,1,1,1,1,8,12,0,0,0,0
Megan Anderson,3,1,211,211,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,Kevin MacDonald,"February 29, 2020","Norfolk, Virginia, USA",1.41,3.05,Megan Anderson,30.0,182.9,65.8,182.9,4,1,7,14,32,39,0,1,0,1,14,6,12,1,2,0,0,5,11,2,2,0,1,Norma Dumont,29.0,170.2,61.2,170.2,5,0,5,16,14,25,1,3,0,0,139,1,9,4,5,0,2,1,11,4,5,0,0
Grant Dawson,3,2,98,398,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Kevin MacDonald,"February 29, 2020","Norfolk, Virginia, USA",1.21,4.8,Grant Dawson,26.0,177.8,65.8,182.9,1,0,15,22,42,52,2,3,2,0,315,14,21,1,1,0,0,1,2,0,0,14,20,Darrick Minner,29.0,170.2,65.8,175.3,1,0,4,7,26,29,1,1,2,1,26,1,3,1,1,2,3,2,5,1,1,1,1
Kyler Phillips,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Dan Miragliotta,"February 29, 2020","Norfolk, Virginia, USA",1.77,2.1,Gabriel Silva,25.0,167.6,61.2,180.3,4,0,31,97,43,112,2,6,1,0,149,22,85,6,9,3,3,27,89,1,3,3,5,Kyler Phillips,24.0,172.7,61.2,182.9,5,0,89,168,112,195,2,4,1,0,352,66,139,13,19,10,10,58,124,11,15,20,29
Brendan Allen,3,1,287,287,False,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,Bill Bookwalter,"February 29, 2020","Norfolk, Virginia, USA",2.1,1.77,Brendan Allen,24.0,188.0,83.9,190.5,0,0,20,29,38,52,0,1,0,0,254,17,26,3,3,0,0,2,3,2,3,16,23,Tom Breese,28.0,190.5,83.9,185.4,0,0,4,5,5,6,0,1,0,0,12,0,0,4,5,0,0,0,1,4,4,0,0
Marcin Tybura,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Bill Bookwalter,"February 29, 2020","Norfolk, Virginia, USA",2.0,1.83,Marcin Tybura,34.0,190.5,112.9,198.1,0,0,43,106,116,199,2,8,0,0,502,36,90,7,16,0,0,15,63,5,8,23,35,Serghei Spivac,25.0,190.5,117.9,198.1,0,0,26,83,40,101,0,1,0,0,0,23,80,3,3,0,0,20,74,6,9,0,0
Luis Pena,3,3,300,900,False,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike King,"February 29, 2020","Norfolk, Virginia, USA",1.37,3.3,Luis Pena,26.0,190.5,70.3,190.5,0,0,27,42,58,95,0,1,1,0,842,24,38,1,2,2,2,6,15,2,3,19,24,Steve Garcia,27.0,182.9,70.3,190.5,0,0,21,39,98,153,1,1,1,0,14,15,32,2,3,4,4,14,27,1,1,6,11
Jordan Griffin,3,2,218,518,False,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Mike King,"February 29, 2020","Norfolk, Virginia, USA",1.74,2.15,Jordan Griffin,30.0,177.8,65.8,185.4,1,0,15,23,20,28,0,1,3,0,5,13,21,2,2,0,0,9,17,3,3,3,3,TJ Brown,29.0,175.3,65.8,182.9,0,0,32,47,91,119,7,7,0,0,452,26,39,6,7,0,1,9,22,10,10,13,15
